,reviews
0,"My first time with Egyptair bad to worse experince with this airline, on my way to ghana my lugauge was left at Cario airport and i have come back to accra for it after couple days luagages get so dirty before they Arrived ...now coming back from Acc to YYz my laugage get ripe off that somethings are missing and i need some answers ...please take care of your service because everyone is complaining about this airline why?"
1,"The worsr airline ive ever flewn with. No screens, even in long haul. Extremely tight seats. Uncomfortable as hell. And the worst is the cairo airport and the baggage handling. Baggage got lost on the way in, one week delay and a meager 100$ refund, which obviously didnt even make up for half of the equipment which had to be bought to not run around without clothing for one week. But even that only just after a hell of a discussion with the local representative. And the worst: my bag got damaged on the way back. Still in process for a refund which is intentionally made extremely difficult with no answers for weeks and then outragous requirements like sending all documents in original via post, eventhoug all documents have been send electronically a few times... Never give those guys one cent."
2,"Please get my luggage to me - I'm here for COP27 and it's being over 4days now, this airline left my luggage and can't tell me where it is or was left at. This is worst airline I have ever travelled through and will highly discourage anyone to book this useless airline. Can't attend my conference as planned because of your careless service."
3,"I was really surprised about quality of service on boadr anfter reading many bad rewiews. Flight London-Cairo-Johannesburg. Both boards were new Dreamliners clean, new,  with a lot of space for legs. Selection of music and movies was huge and good. Food on both flight was delicious,  probably the best I had on board. Staff was helpful,  flights started at time"
4,"Worst airline ever to use.Hostesses are sullen and cannot speak English although the customers were predominantly English speaking. Hostesses were disinterested in their Business Class customers.Food was inedible and cold in any case. Only lousy fruit juice to drink. No alcoholic drinks served. Toilet floors were filthy dirty.I shudder to think of the type of food and service that would be dished out to Economy Class customers.Entertainment movies were pathetic and negligible choice for English speakers.Although, Business Class bed is excellent quality.Business Class transit lounge is pathetic quality.I will never fly Egypt Air again."
5,The worst service experience I had!I had 4 flights with them and they were all delayed. Most of the staff were rude. The flight attendant ignored me when I asked for water multiple times. The flight coordinator actually threatened me. It took me 3 hours to check in even though there were less than 10 people in front of me and they had 4 open windows. After all the hustle they put me through they lost my luggage. When it was found after 8 days the luggage and most of its contents were damaged. When I informed the customer service all of these they didn't care at all. I would rather walk 8000 miles than fly with them. I don't even know how they are in business treating customers like this.
6,"Not impressed. On the homeward flight from Luxor we were delayed. No greeting or explanation from the captain. More importantly NO safety checks on take off from the crew. They were rude,clumsy and off hand and didn't smile or make you feel welcome.After they served the meal they sat on their phones at the back of the plane reluctant to come if called. We had two other flights during our trip with Egypt Air and they were only marginally better but at least they did the seat belt etc checks."
7,"lost my 2 luggage, they refused to pay for compensation or interim expenses even though their staff admitted it , never respond to emails, stay away. Toronto Office never respond and Cairo office ignore the emails."
8,"Very bad staff, and the treatment is very rude. I do not recommend traveling on EgyptAir Airlines until after a radical change from them.The reservation system on the site is stupid and has errors and the employees refuse to fix the EgyptAir error and when you talk to them, they tell you that the error is your fault, the worst company in recovering money and canceling the reservation, there is no technical supportThe employees are not qualified to work for a company the size of EgyptAir, but rather harm it and the reputation of a company with that heritage, unfortunately"
9,"Forget your Refund Once they have your money,  it will never be refunded. Been 4 months since I canceled my fully refundable tickets.Went through all Egypt Air procedures Never received anything,  yes a lot of Email replies saying Thank You for Choosing Egypt Air. Never again"
10,"Why are black people still flying with racist airline? I am so disgusted that these racist  Egyptian people are allowed to fly into black countries. Egyptian airline , and the entire people in Egypt are racist against black people. i am asking  black people not fly with this airline. we are treated like we are  in slavery with this airline. We as black people can not allow this to go any longer ."
11,It clearly mentions on their webpage a charge of 50 Usd for extra 10 kg. But as you arrive they charge you 105usd. I was told to write to consumer service and they mention that it is piece concept and not per kilogram which is Not mentioned in their webpage.I had to spend more money than I had and I am feeling very unhappy about it
12,Absolutely awful airline they really don't know how to do their jobs properly. Both on the way to ciaro and on the way home from cario our luggage was lost! Worst airline ever!! Will never fly with them again
13,"If this is the pride of Egypt then its laughable, wannabe Emirates airlines with completely poor customer service in Cairo. Cant do anything to help, male dominated yet incompetent. Delayed my flight by 7hours yet offered no compensation, replacements or anything making me miss my connection flight which I then had to pay for again. Egyptair is the laughing stock of Arab airlines, total shambles, plus also a reflection of your country. Very laughable."
